origin_airport_code,origin_airport,origin_airport_id,origin_airport_latitude,origin_airport_longitude,origin_city,origin_country,destination_airport_code,destination_airport,destination_airport_id,destination_airport_latitude,destination_airport_longitude,destination_city,destination_country
ABE,Lehigh Valley International Airport,4355,40.65209961,-75.44080353,Allentown,United States,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
ABQ,Albuquerque International Sunport,4019,35.040199,-106.609001,Albuquerque,United States,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
ACV,California Redwood Coast-Humboldt County Airport,4384,40.978101,-124.109,Arcata CA,United States,CEC,Jack Mc Namara Field Airport,5727,41.78020096,-124.2369995,Crescent City,United States
ADD,Addis Ababa Bole International Airport,1107,8.977890015,38.799301147499996,Addis Ababa,Ethiopia,JED,King Abdulaziz International Airport,2072,21.6796,39.156502,Jeddah,Saudi Arabia
AKL,Auckland International Airport,2006,-37.0080986,174.7920074,Auckland,New Zealand,SFO,San Francisco International Airport,3469,37.61899948120117,-122.375,San Francisco,United States
ALB,Albany International Airport,3864,42.74829864501953,-73.80169678,Albany,United States,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
AMS,Amsterdam Airport Schiphol,580,52.308601,4.76389,Amsterdam,Netherlands,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
ANC,Ted Stevens Anchorage International Airport,3774,61.174400329589844,-149.9960022,Anchorage,United States,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
ARN,Stockholm-Arlanda Airport,737,59.65190125,17.91860008,Stockholm,Sweden,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
ATL,Hartsfield Jackson Atlanta International Airport,3682,33.6367,-84.428101,Atlanta,United States,DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States
ATL,Hartsfield Jackson Atlanta International Airport,3682,33.6367,-84.428101,Atlanta,United States,LGA,La Guardia Airport,3697,40.77719879,-73.87259674,New York,United States
AUA,Queen Beatrix International Airport,2895,12.5014,-70.015198,Oranjestad,Aruba,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
AUS,Austin Bergstrom International Airport,3673,30.194499969482422,-97.66989899,Austin,United States,CUN,Cancún International Airport,1852,21.036500930800003,-86.87709808,Cancun,Mexico
AUS,Austin Bergstrom International Airport,3673,30.194499969482422,-97.66989899,Austin,United States,LAX,Los Angeles International Airport,3484,33.94250107,-118.4079971,Los Angeles,United States
BAH,Bahrain International Airport,2057,26.27079963684082,50.63359832763672,Bahrain,Bahrain,DOH,Hamad International Airport,11051,25.273056,51.608056,Doha,Qatar
BDL,Bradley International Airport,3825,41.93889999,-72.68319702,Windsor Locks,United States,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
BFD,Bradford Regional Airport,5722,41.80310059,-78.64009857,Bradford,United States,JHW,Chautauqua County-Jamestown Airport,7059,42.15340042,-79.25800323,Jamestown,United States
BFS,Belfast International Airport,465,54.65750122,-6.215829849,Belfast,United Kingdom,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
BHX,Birmingham International Airport,469,52.453899383499994,-1.748029947,Birmingham,United Kingdom,BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium
BJL,Banjul International Airport,1050,13.338000297546387,-16.6522007,Banjul,Gambia,DKR,Léopold Sédar Senghor International Airport,1084,14.739700317382812,-17.49020004,Dakar,Senegal
BKW,Raleigh County Memorial Airport,5724,37.787300109899995,-81.12419891,Beckley,United States,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
BNA,Nashville International Airport,3690,36.12450027,-86.67819977,Nashville,United States,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
BOG,El Dorado International Airport,2709,4.70159,-74.1469,Bogota,Colombia,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
BOI,Boise Air Terminal/Gowen Field,3495,43.5644,-116.223,Boise,United States,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
BOS,General Edward Lawrence Logan International Airport,3448,42.36429977,-71.00520325,Boston,United States,CLE,Cleveland Hopkins International Airport,3486,41.4117012,-81.84980011,Cleveland,United States
BOS,General Edward Lawrence Logan International Airport,3448,42.36429977,-71.00520325,Boston,United States,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
BOS,General Edward Lawrence Logan International Airport,3448,42.36429977,-71.00520325,Boston,United States,PTY,Tocumen International Airport,1871,9.071359634,-79.38349915,Panama City,Panama
BOS,General Edward Lawrence Logan International Airport,3448,42.36429977,-71.00520325,Boston,United States,YYZ,Lester B. Pearson International Airport,193,43.67720032,-79.63059998,Toronto,Canada
BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium,BHX,Birmingham International Airport,469,52.453899383499994,-1.748029947,Birmingham,United Kingdom
BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium,JFK,John F Kennedy International Airport,3797,40.63980103,-73.77890015,New York,United States
BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
BTV,Burlington International Airport,3711,44.471900939899996,-73.15329742,Burlington,United States,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
BUF,Buffalo Niagara International Airport,3820,42.94049835,-78.73220062,Buffalo,United States,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
BWI,Baltimore/Washington International Thurgood Marshall Airport,3849,39.1754,-76.668297,Baltimore,United States,DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States
BWI,Baltimore/Washington International Thurgood Marshall Airport,3849,39.1754,-76.668297,Baltimore,United States,SFO,San Francisco International Airport,3469,37.61899948120117,-122.375,San Francisco,United States
CAE,Columbia Metropolitan Airport,3561,33.93880081176758,-81.11949921,Columbia,United States,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
CCS,Simón Bolívar International Airport,2851,10.601194,-66.991222,Caracas,Venezuela,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
CDR,Chadron Municipal Airport,7066,42.83760071,-103.0950012,Chadron,United States,DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States
