origin_airport_code,origin_airport,origin_airport_id,origin_airport_latitude,origin_airport_longitude,origin_city,origin_country,destination_airport_code,destination_airport,destination_airport_id,destination_airport_latitude,destination_airport_longitude,destination_city,destination_country
ABE,Lehigh Valley International Airport,4355,40.65209961,-75.44080353,Allentown,United States,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
ABJ,Port Bouet Airport,253,5.261390209197998,-3.926290035,Abidjan,Cote d'Ivoire,BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium
ABJ,Port Bouet Airport,253,5.261390209197998,-3.926290035,Abidjan,Cote d'Ivoire,LFW,Lomé-Tokoin Airport,298,6.165609836578369,1.2545100450515747,Lome,Togo
ABJ,Port Bouet Airport,253,5.261390209197998,-3.926290035,Abidjan,Cote d'Ivoire,OUA,Ouagadougou Airport,246,12.3532,-1.51242,Ouagadougou,Burkina Faso
ABQ,Albuquerque International Sunport,4019,35.040199,-106.609001,Albuquerque,United States,DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States
ABQ,Albuquerque International Sunport,4019,35.040199,-106.609001,Albuquerque,United States,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
ABQ,Albuquerque International Sunport,4019,35.040199,-106.609001,Albuquerque,United States,LAX,Los Angeles International Airport,3484,33.94250107,-118.4079971,Los Angeles,United States
ABQ,Albuquerque International Sunport,4019,35.040199,-106.609001,Albuquerque,United States,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
ABQ,Albuquerque International Sunport,4019,35.040199,-106.609001,Albuquerque,United States,SFO,San Francisco International Airport,3469,37.61899948120117,-122.375,San Francisco,United States
ACA,General Juan N Alvarez International Airport,1783,16.757099151611328,-99.7539978,Acapulco,Mexico,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
ACV,California Redwood Coast-Humboldt County Airport,4384,40.978101,-124.109,Arcata CA,United States,CEC,Jack Mc Namara Field Airport,5727,41.78020096,-124.2369995,Crescent City,United States
ACV,California Redwood Coast-Humboldt County Airport,4384,40.978101,-124.109,Arcata CA,United States,SFO,San Francisco International Airport,3469,37.61899948120117,-122.375,San Francisco,United States
ACV,California Redwood Coast-Humboldt County Airport,4384,40.978101,-124.109,Arcata CA,United States,SMF,Sacramento International Airport,3817,38.69540023803711,-121.5910034,Sacramento,United States
ACY,Atlantic City International Airport,3524,39.45759963989258,-74.57720184,Atlantic City,United States,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
ACY,Atlantic City International Airport,3524,39.45759963989258,-74.57720184,Atlantic City,United States,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
ADD,Addis Ababa Bole International Airport,1107,8.977890015,38.799301147499996,Addis Ababa,Ethiopia,JED,King Abdulaziz International Airport,2072,21.6796,39.156502,Jeddah,Saudi Arabia
AEX,Alexandria International Airport,3852,31.32740020751953,-92.54979706,Alexandria,United States,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
AGU,Jesús Terán Paredo International Airport,1785,21.705601,-102.318001,Aguascalientes,Mexico,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
AIA,Alliance Municipal Airport,7067,42.05319977,-102.8040009,Alliance,United States,CDR,Chadron Municipal Airport,7066,42.83760071,-103.0950012,Chadron,United States
AKL,Auckland International Airport,2006,-37.0080986,174.7920074,Auckland,New Zealand,LAX,Los Angeles International Airport,3484,33.94250107,-118.4079971,Los Angeles,United States
AKL,Auckland International Airport,2006,-37.0080986,174.7920074,Auckland,New Zealand,SFO,San Francisco International Airport,3469,37.61899948120117,-122.375,San Francisco,United States
ALA,Almaty Airport,2908,43.35210037231445,77.04049682617188,Alma-ata,Kazakhstan,TSE,Astana International Airport,2910,51.02220153808594,71.46690368652344,Tselinograd,Kazakhstan
ALB,Albany International Airport,3864,42.74829864501953,-73.80169678,Albany,United States,CLE,Cleveland Hopkins International Airport,3486,41.4117012,-81.84980011,Cleveland,United States
ALB,Albany International Airport,3864,42.74829864501953,-73.80169678,Albany,United States,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
ALB,Albany International Airport,3864,42.74829864501953,-73.80169678,Albany,United States,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
ALB,Albany International Airport,3864,42.74829864501953,-73.80169678,Albany,United States,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
ALS,San Luis Valley Regional Bergman Field,7073,37.434898,-105.866997,Alamosa,United States,DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States
ALS,San Luis Valley Regional Bergman Field,7073,37.434898,-105.866997,Alamosa,United States,FMN,Four Corners Regional Airport,3743,36.741199493399996,-108.2300034,Farmington,United States
AMA,Rick Husband Amarillo International Airport,3840,35.219398,-101.706001,Amarillo,United States,DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States
AMA,Rick Husband Amarillo International Airport,3840,35.219398,-101.706001,Amarillo,United States,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
